İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
LİDER EMLAK Zafer mah geniş 1+1 apart yakıt İnt dahil 11.000₺,11.000 TL,1+1,55,"Anadolu
Zafer Mah.","17 Aralık
2025"
ASYA EMLAK TAN MODERNEVLERDE BALKONLU 2+1 BAHÇEKAT,8.000 TL,2+1,60,"Anadolu
Modern Evler Mah.","17 Aralık
2025"
2+1 ARAKAT SAHİBİNDEN EŞYALI APART DAİRE İYAŞ AVMYE ÜNİ Cad YKIN,14.000 TL,2+1,60,"Anadolu
Modern Evler Mah.","17 Aralık
2025"
ÜNİVERSİTE KARŞISI SİTE İÇİNDE 3+1 LÜKS DAİRE,25.000 TL,3+1,149,"Anadolu
Çünür Mh.","17 Aralık
2025"
GÜLİSTAN MAHALLESİ KİRALIK 2+1 DAİRE,13.500 TL,2+1,100,"Kutlubey
Gülistan Mh.","17 Aralık
2025"
ISPARTA MERKEZ MODERNEVLER MAH.2. KAT BALKONLU 55 M2 2+1 EŞYALI,10.000 TL,2+1,65,"Anadolu
Modern Evler Mah.","17 Aralık
2025"
ISPARTA MERKEZ FATİH MAH. 3+1 B.KATI 125M2 D.GAZLI KİRALIK DAİRE,10.000 TL,3+1,145,"Anadolu
Fatih Mah.","17 Aralık
2025"
Sahibinden Kiralık sıfır daire,29.000 TL,3+1,140,"Anadolu
Muzaffer Türkeş Mh.","17 Aralık
2025"
,,,,,
Güneş Gayrimenkul'den Bağlar Bahçe Kat Yakıt Net Dahil,5.500 TL,Stüdyo (1+0),40,"Kutlubey
Bağlar Mh.","17 Aralık
2025"
32 ARTIBİR EMLAKTAN MODERNEVLERDE 1+0 APART DAİRE,8.000 TL,Stüdyo (1+0),35,"Anadolu
Modern Evler Mah.","17 Aralık
2025"
ÇÜNÜR 1002 TOKİ DE SIFIR KİRALIK 2+1 DAİRE,15.000 TL,2+1,110,"Anadolu
Çünür Mh.","16 Aralık
2025"
İSUBU KARŞISINDA 3+1 KİRALIK OFİS/DAİRE CADDE ÜZERİNDE,22.000 TL,3+1,150,"Kutlubey
Hızırbey Mh.","16 Aralık
2025"
Net 145m2 2.kat Güney cephe Gülevlerde Sahibinden Kiralık Daire,21.000 TL,3+1,155,"Çelebiler
Gülevler Mh.","16 Aralık
2025"
Muzsffer Türkeşte 3+1 kiralık daire,21.000 TL,3+1,137,"Anadolu
Muzaffer Türkeş Mh.","16 Aralık
2025"
KİRALIK HERŞEY DAHİL,8.500 TL,1+1,50,"Anadolu
Çünür Mh.","16 Aralık
2025"
MACRODAN GENİŞ VE LÜKS 2+0 APART,12.500 TL,2+0,55,"Anadolu
Fatih Mah.","16 Aralık
2025"
ÇAY BOYUNUN KALBİNDE | 3+1 | SIFIR | LÜKS KİRALIK DAİRE,30.000 TL,3+1,140,"Çelebiler
Hisar Mah.","09 Aralık
2025"
ÇARŞI MERKEZE YAKIN KESİKBAŞ MEVKİİ KİRALIK 4+1 DAİRE,20.000 TL,4+1,150,"Çelebiler
Kurtuluş Mh.","16 Aralık
2025"
"ISPARTA MERKEZ FATİH MH. 1+1, 45 M2, YAKIT DAHİL, KİRALIK APART",10.000 TL,1+1,45,"Anadolu
Fatih Mah.","16 Aralık
2025"
DURAKLARA 2 DK KİRALIK 2+0 APART//YAKIT İNTERNET DAHİL,11.000 TL,2+1,45,"Anadolu
Modern Evler Mah.","16 Aralık
2025"
Servet Sağlık Ocağı Yanı 3+1 kilerli kiralık Daire,18.000 TL,3+1,150,"Kepeci
Sermet Mah.","16 Aralık
2025"
Bağlar da 45 m2 B.kat 2+1 eşyalı Apart,8.500 TL,2+1,45,"Kutlubey
Bağlar Mh.","16 Aralık
2025"
