İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
SAHİBİNDEN 1+0 STÜDYO DAİRE,8.500 TL,Stüdyo (1+0),35,"Anadolu
Yedişehitler Mh.","13 Aralık
2025"
AYÇİÇEKLER EMLAK KİRALIK,10.000 TL,3+1,120,"Çelebiler
Gülcü Mh.","13 Aralık
2025"
Meydan AVM Karşısında Kiralık 2+1 Eşyalı Klimalı Geniş Daire,20.000 TL,2+1,105,"Kutlubey
Pirimehmet Mah.","13 Aralık
2025"
ÇÜNÜRDE LÜX 1+1 HERŞEY DAHİL APART,15.000 TL,1+1,45,"Anadolu
Çünür Mh.","13 Aralık
2025"
FATİH MAH. KİRALIK APART 1+1,8.500 TL,1+1,42,"Anadolu
Fatih Mah.","13 Aralık
2025"
Sahibinden 3+1 | Güney Cephe | Önü Açık | Asansörlü,20.000 TL,3+1,150,"Kepeci
Karaağaç Mh.","13 Aralık
2025"
GEF GAYRİMENKUL'den BATIKENTTE KİRALIK 2+1 DAİRE,12.500 TL,2+1,90,"Kutlubey
Batıkent Mh.","12 Aralık
2025"
MODERN EVLERDE 1+1 KİRALIK APART DAİRE,7.500 TL,1+1,45,"Anadolu
Modern Evler Mah.","12 Aralık
2025"
Çatı katı eşyalı temiz 2+1 apart,11.000 TL,2+1,35,Anadolu,"12 Aralık
2025"
Fatih Mahallesi 1+1 Herşey Dahil Apart,12.000 TL,1+1,35,"Anadolu
Fatih Mah.","12 Aralık
2025"
Sahibinden Kiralık Bahçe Katı,8.500 TL,2+1,110,"Anadolu
Zafer Mah.","12 Aralık
2025"
KİRALIK APART,11.000 TL,1+1,60,"Anadolu
Yedişehitler Mh.","12 Aralık
2025"
Carşi Merkeze Yakın meydan AVM 5 dakika yürüme mesafesinde,13.000 TL,2+1,120,"Tokmacık
Yayla Mah.","12 Aralık
2025"
ERÜLSOLAK EMLAKTAN ÇARŞIDA KESİKBAŞ İYAŞ YANINDA KİRALIK DAİRE..,22.000 TL,3+1,150,"Çelebiler
Gazi Kemal Mah.","12 Aralık
2025"
,,,,,
GENİŞ 1+1 APART,14.000 TL,1+1,55,"Anadolu
Çünür Mh.","12 Aralık
2025"
Kiralık 2+1 Vatan Mahallesi Ara Kat Ön Cephe,17.500 TL,2+1,100,"Çelebiler
Vatan Mah.","12 Aralık
2025"
32 ARTIBİR EMLAKTAN BÖCÜZADE PARKI YANI 1+1 HERŞEY DAHİL APART,6.500 TL,1+1,45,"Anadolu
Bahçelievler Mh.","12 Aralık
2025"
ISPARTA ÇÜNÜR MAHALLESİ KİRALIK 2+1 APART,12.000 TL,2+1,45,"Anadolu
Çünür Mh.","12 Aralık
2025"
IŞIKKENTDE KİRALIK 2+1 DAİRE,14.000 TL,2+1,135,"Kutlubey
Işıkkent Mh.","12 Aralık
2025"
MEYDAN AVM'NİN YANINDA ISUBÜ'YE YAKIN KİRALIK BALKONLU 2+0 APART,13.000 TL,2+0,50,"Tokmacık
Yayla Mah.","12 Aralık
2025"
MERKEZİ KONUMDA 2+0 EŞYALI KİRALIK DAİRE,9.500 TL,2+0,45,"Anadolu
Fatih Mah.","12 Aralık
2025"
PİRİMEHMET MAHALLESİNDE SİTE İÇERİSİNDE KİRALIK 3+1 GENİŞ DAİRE,19.000 TL,3+1,160,"Kutlubey
Pirimehmet Mah.","12 Aralık
2025"
ISPARTA MERKEZ KURTULUŞ MAHALLESİNDE KİRALIK BAKIMLI DAİRE,25.000 TL,3+1,155,"Çelebiler
Kurtuluş Mh.","12 Aralık
2025"
MUZAFFER TÜRKEŞ MAH SÖYLEYİCİLER DE 4+1 KİRALIK DAİRE,34.000 TL,4+1,185,"Anadolu
Muzaffer Türkeş Mh.","12 Aralık
2025"
ŞEHİR MERKEZİ HASTANE CADDESİNDE 3+1 KİRALIK DAİRE,20.000 TL,3+1,150,"Çelebiler
Turan Mah.","12 Aralık
2025"
YENİŞEHİR ÇÜNÜRDE 3+1 KİRALIK LÜKS DAİRE,23.995 TL,3+1,150,"Anadolu
Çünür Mh.","12 Aralık
2025"
YENİ OTOGAR KARŞISI SAHİBİNDEN KİRALIK (3+1),27.000 TL,3+1,145,"Anadolu
Çünür Mh.","12 Aralık
2025"
Sahibinden Kiralik,20.000 TL,3+1,150,"Çelebiler
Ayazmana Mah.","12 Aralık
2025"
ÇÜNÜR YENİ OTOGAR KARŞISI EŞYALI ARA KAT KİRALIK 2+1 APART DAİRE,14.500 TL,2+1,55,"Anadolu
Çünür Mh.","12 Aralık
2025"
Her şey dahil kız apartı cuma pazarı yakını,8.500 TL,Stüdyo (1+0),20,"Anadolu
Yedişehitler Mh.","12 Aralık
2025"
Isparta Pirimehmet Mahallesinde 1+0 FULL EŞYALI Bayan APART,7.500 TL,Stüdyo (1+0),45,"Kutlubey
Pirimehmet Mah.","12 Aralık
2025"
GEF GAYRİMENKULDEN 219.CADDE ÜZERİNDE SIFIR 4+1 KİRALIK DAİRE,35.000 TL,4+1,195,"Anadolu
Muzaffer Türkeş Mh.","13 Aralık
2025"
DAVRAZ MAH ŞEHİR HASTANESİNE ÇOK YOK 3+1 ARAKAT GENİŞ DAİRE,16.500 TL,3+1,165,"Kepeci
Davraz Mah.","12 Aralık
2025"
İyaş avm'ye yürüme mesafesinde kiralık 50m2 apart,12.000 TL,2+1,60,"Anadolu
Bahçelievler Mh.","12 Aralık
2025"
YÜCEER GAYRİMENKUL DAVRAZ MAH BELMAŞ EVLERİNDE KİRALIK 2+1 DAİRE,12.000 TL,2+1,100,"Kepeci
Davraz Mah.","12 Aralık
2025"
Isparta Modernevler Çevreyolu Üzeri Kiralık 3+1 Daire,16.500 TL,3+1,150,"Anadolu
Modern Evler Mah.","12 Aralık
2025"
,,,,,
HALIKENT MAHALLESİNDE İÇİ YENİLENMİŞ 3+1 KİRALIK DAİRE,18.000 TL,3+1,130,"Çelebiler
Halıkent Mh.","12 Aralık
2025"
GüNEŞ Gayrimenku'den Bağlar 1+1 Eşyalı Balkonlu Yakıt Net Dahil,7.000 TL,1+1,30,"Kutlubey
Bağlar Mh.","13 Aralık
2025"
ISPARTA MERKEZ ÇÜNÜR MAHALLESİNDE 6.KAT 2+1 EŞYALI KİRALIK APART,16.000 TL,2+1,70,"Anadolu
Çünür Mh.","12 Aralık
2025"
ERGÜLSOLAK EMLAKTAN ANACADDE ÜSTÜNDE KİRALIK 4+1 DAİRE...,27.000 TL,4+1,180,"Kutlubey
Hızırbey Mh.","12 Aralık
2025"
Fatih Mahallesinde 2+1 Eşyalı Apart,10.000 TL,2+1,50,"Anadolu
Fatih Mah.","12 Aralık
2025"
MERKEZ KARAAĞAÇ MAHALLESİNDE 2+1 SOBALI KİRALIK DAİRE,8.000 TL,2+1,100,"Kepeci
Karaağaç Mh.","12 Aralık
2025"
AYBAY GAYRİMENKUL DEN HIZIRBEY MAH 2+1 DAİRE,12.000 TL,2+1,100,"Kutlubey
Hızırbey Mh.","12 Aralık
2025"
ASYA EMLKTAN 3+1 ARA KT ASANSRLU CARSİ MERKZ,23.000 TL,3+1,150,"Kutlubey
Pirimehmet Mah.","12 Aralık
2025"
Davraz Mah Hazal sitesi Kiralık 3+1 daire,22.000 TL,3+1,145,"Kepeci
Davraz Mah.","12 Aralık
2025"
ÇÜNÜR MAHALLESİNDE 3+1 EŞYASIZ DAİRE,24.000 TL,3+1,150,"Anadolu
Çünür Mh.","13 Aralık
2025"
İYAŞA 2 DK GENİŞ 1+0 BALKONLU APART,8.000 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","13 Aralık
2025"
İSUBU KARŞISINDA KİRALIK GÜNEY CEPHE 3+1 GENİŞ FERAH DAİRE,20.000 TL,3+1,150,"Çelebiler
Turan Mah.","12 Aralık
2025"
Sahibinden kiralık lüx apart,13.750 TL,1+1,45,"Kutlubey
Bağlar Mh.","15 Aralık
2025"
ANADOLU MAHALLESİNDE BULAŞIK MAKİNELİ 2+1 KİRALIK APART,12.500 TL,2+1,60,Anadolu,"12 Aralık
2025"
32 ARTIBİR EMLAK HIZIRBEY'DE 2+1 TERASLI ÇATI KATI DAİRE,8.000 TL,2+1,100,"Kutlubey
Hızırbey Mh.","12 Aralık
2025"
ÖZKANLARDA KİRALIK DAİRE,25.000 TL,3+1,180,"Kepeci
İstiklal Mh.","12 Aralık
2025"
1+0 Geniş rezidans daire (45brüt),10.000 TL,Stüdyo (1+0),45,"Anadolu
Çünür Mh.","12 Aralık
2025"
Eşyalı 2+1 geniş apart,15.000 TL,2+1,85,"Çelebiler
Gazi Kemal Mah.","11 Aralık
2025"
ÇAY BOYUNDA BAHÇEŞEHİR KOLEJİ YANI KİRALIK 2+1 BAHÇE KATI,12.000 TL,2+1,100,"Çelebiler
Turan Mah.","11 Aralık
2025"
ÇARŞI MERKEZE YAKIN LÜKS HERŞEY DAHİL GENİŞ KİRALIK 1+1 DAİRE,18.000 TL,1+1,75,"Kepeci
Karaağaç Mh.","11 Aralık
2025"
,,,,,
"ISPARTA MERKEZ FATİH MH. 1+1,YAKIT NET DAHİL KİRALIK APART DAİRE",10.000 TL,1+1,45,"Anadolu
Fatih Mah.","13 Aralık
2025"
İstanbul Caddesi Maxi Market Arkası 1+0 Kiralık Apart,9.000 TL,Stüdyo (1+0),30,"Anadolu
Modern Evler Mah.","13 Aralık
2025"
PARS EMLAKTAN SİTE İÇERİSİNDE KİRALIK 3+1 DAİRE,24.000 TL,3+1,135,"Çelebiler
Vatan Mah.","11 Aralık
2025"
MERKEZİ KONUMDA KİRALIK 3+1 DAİRE,23.000 TL,3+1,150,"Anadolu
Çünür Mh.","11 Aralık
2025"
BAHÇELİEVLER'DE IYAŞ VE DURAKLARA ÇOK YAKIN KİRALIK 1+0 APARTLAR,8.000 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","11 Aralık
2025"
ISPARTA MERKEZ MODERN EVLER 2+1 ARA KAT APART.,11.000 TL,2+1,35,"Anadolu
Modern Evler Mah.","11 Aralık
2025"
Doğalgazlı Temiz 3.Kat Daire,14.500 TL,3+1,130,"Anadolu
Zafer Mah.","11 Aralık
2025"
Çünür'de Herşey Dahil Kiralık 1+1 Temiz Eşyalı Geniş Apart,15.000 TL,1+1,55,"Anadolu
Çünür Mh.","11 Aralık
2025"
ÜNİVERSİTE MEVKİ SAHİBİNDEN LÜX EŞYALI KİRALIK 1+1 APART,12.000 TL,1+1,40,"Anadolu
Çünür Mh.","11 Aralık
2025"
KEPECİ MAHALLESİ OFİS KULLANIMINA UYGUN LÜKS 1+1 APART DAİRE,16.500 TL,1+1,55,Kepeci,"11 Aralık
2025"
ÇÜNÜR MAH. ÜNİ. MEVKİ SAHİBİNDEN LÜX EŞYALI 2+1 APART,15.000 TL,2+1,55,"Anadolu
Çünür Mh.","11 Aralık
2025"
Çayboyunda Kiralık Daire,13.000 TL,2+1,120,"Çelebiler
Hisar Mah.","11 Aralık
2025"
MODERNEVLER MAHALLESİNDE KİRALIK 2+1 APART,12.000 TL,2+1,45,"Anadolu
Modern Evler Mah.","11 Aralık
2025"
Isparta Çünür Toki 1002 Konut Yerleşkesinde 2+1 Sıfır Daire,15.000 TL,2+1,107,"Anadolu
Çünür Mh.","11 Aralık
2025"
BAHÇELİEVLER MAHALLESİNDE CADDE ÜZERİ SIFIR 3+1 DAİRE,25.000 TL,3+1,115,"Anadolu
Bahçelievler Mh.","11 Aralık
2025"
Muzaffer Türkeş Mh. Oğuzhan Büke Konutları KİRALIK DAİRE 3+1,18.000 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","11 Aralık
2025"
,,,,,
ŞEHİR HASTANESİ KARŞISI 2+1 KİRALIK DAİRE,18.000 TL,2+1,100,"Kepeci
Davraz Mah.","11 Aralık
2025"
ÇARŞI MERKEZDE MUHTEŞEM KONUMDA KİRALIK DAİRE!!!,14.000 TL,2+1,100,"Çelebiler
Gazi Kemal Mah.","11 Aralık
2025"
ÇÜNÜR MAHALLESİNDE SİTE İÇİ ORTAOKULA YAKIN 3+1 DAİRE,25.000 TL,3+1,140,"Anadolu
Çünür Mh.","12 Aralık
2025"
YÜCEER GAYRİMENKUL'DEN DAVRAZ MAH.'DE GÜZEL KONUM KİRALIK DAİRE,17.000 TL,3+1,130,"Kepeci
Davraz Mah.","12 Aralık
2025"
YEDİŞEHİTLERDE KİRALIK 2+0 APART,10.000 TL,2+0,45,"Anadolu
Yedişehitler Mh.","11 Aralık
2025"
ÖZKANLAR MEVKİİ 2+0 EŞYALI 2.KAT KOMBİLİ APART DAİRE,10.000 TL,2+0,45,"Anadolu
Bahçelievler Mh.","12 Aralık
2025"
ÇELİKEV GAYRİMENKUL'DEN İYAŞA 3DK ARAKAT HER ŞEY DAHİL 1+1 APART,15.000 TL,1+1,55,"Anadolu
Bahçelievler Mh.","11 Aralık
2025"
ÇELİKEV GAYRİMENKUL'DEN MODERNEVLERDE 2+1 ARAKAT APART,14.000 TL,2+1,50,"Anadolu
Fatih Mah.","11 Aralık
2025"
MACRODAN İYAŞ AVM YÜRÜME MESAFESİNDE 1+1 APART,12.000 TL,1+1,45,"Anadolu
Bahçelievler Mh.","11 Aralık
2025"
İSUBU ÜNÜVERSİTESİNE 700 M MESAFEDE EŞYALI KİRALIK DAİRE,30.000 TL,2+1,100,"Çelebiler
Keçeci Mh.","11 Aralık
2025"
Gözde Emlaktan M.Türkeş mh kiralık 3+1 daire,20.000 TL,3+1,130,"Anadolu
Muzaffer Türkeş Mh.","11 Aralık
2025"
"HIZIRBEY'DE NEZİH BİR SİTE İÇİNDE BAKIMLI , GENİŞ 4+1 DAİRE",24.000 TL,4+1,175,"Kutlubey
Hızırbey Mh.","11 Aralık
2025"
GÜLÜSTAN MAHALLESİNDE KİRALIK 2+1 STÜDYO DAİRE 70m2 EŞYALI,13.500 TL,2+1,70,"Kutlubey
Gülistan Mh.","10 Aralık
2025"
ÇÜNÜR MAHALLESİNDE KİRALIK 3+1 DAİRE ÖNÜ AÇIK FERAH ASANSÖR VAR,20.000 TL,3+1,150,"Anadolu
Çünür Mh.","10 Aralık
2025"
ŞEHİR HASTAHANESİ YAKINI HERŞEY DAHİL KİRALIK 1+1 APART,13.500 TL,1+1,40,"Kepeci
İstiklal Mh.","11 Aralık
2025"
EMNİYET MÜDÜRLÜĞÜ KARŞISI 2+1 YAKIT DAHİL KİRALIK APART,11.000 TL,2+0,50,"Anadolu
Modern Evler Mah.","11 Aralık
2025"
ISPARTA KURTULUŞ MAHALLESİ'NDE KİRALIK EŞYALI DAİRE,12.000 TL,2+1,90,"Çelebiler
Kurtuluş Mh.","10 Aralık
2025"
İSTİKLAL MAHALLESİ KİRALIK ASANSÖRLÜ 3 BALKONLU ARAKAT 3+1 DAİRE,16.500 TL,3+1,140,"Kepeci
İstiklal Mh.","10 Aralık
2025"
Çarşıya yürüme mesafesinde kiralık 2+0 ya da 1+1 ler..,12.250 TL,Stüdyo (1+0),55,"Kutlubey
Pirimehmet Mah.","10 Aralık
2025"
ASLAN EMLAK'TAN KİRALIK VİLLA,50.000 TL,4+1,200,"Anadolu
Zafer Mah.","10 Aralık
2025"
KALE'DEN KİRALIK 3+1 DAİRE,11.500 TL,3+1,130,"Kutlubey
Batıkent Mh.","10 Aralık
2025"
KALE'DEN KİRALIK 1+1 APARTLAR,8.500 TL,1+1,40,"Anadolu
Fatih Mah.","10 Aralık
2025"
Isparta Merkez Fatihte FULL EŞYALI 2+1 Bayan ve Aile APARTI,9.500 TL,2+1,70,"Anadolu
Fatih Mah.","10 Aralık
2025"
KÖY GARAJI KARŞISI İÇİ SIFIRLANMIŞ 2+1 KİRALIK DAİRE,16.000 TL,2+1,115,"Kepeci
Davraz Mah.","10 Aralık
2025"
32 ARTIBİR EMLAKTAN ÇÜNÜRDE 2+1 BALKONLU APART DAİRE,9.000 TL,2+1,50,"Anadolu
Çünür Mh.","12 Aralık
2025"
1+1 ultra lüks apart,10.000 TL,1+1,65,"Anadolu
Yedişehitler Mh.","10 Aralık
2025"
EMRE TEKEL ALTI KİRALIK 1+0 BAHÇE KAT APART 7.000₺,7.000 TL,Stüdyo (1+0),30,"Anadolu
Fatih Mah.","12 Aralık
2025"
GÜNDOĞDU TİMES YANI KİRALIK 1+1 TERAS KAT APART 10.000₺,10.000 TL,1+1,40,"Anadolu
Fatih Mah.","12 Aralık
2025"
ISPARTA KARAAĞAÇ MAHALLESİNDE 2+1 KİRALIK DAİRE,23.000 TL,3+1,125,"Kepeci
Davraz Mah.","10 Aralık
2025"
TEKİN EMLAKTAN KİRALIK,25.000 TL,3+1,150,"Çelebiler
Çelebiler Mh.","10 Aralık
2025"
Sahibinden Eşyalı 2+0 Kiralık Apart,10.000 TL,2+0,45,"Anadolu
Bahçelievler Mh.","10 Aralık
2025"
,,,,,
GÜLEVLER MAHALLESİNDE KİRALIK 3+1 DAİRE,13.000 TL,3+1,125,"Çelebiler
Gülevler Mh.","10 Aralık
2025"
RAMADA ARKASI 1+1 BAHÇE KATI APART,7.500 TL,1+1,35,"Anadolu
Bahçelievler Mh.","11 Aralık
2025"
SAĞLIK PARKI YANI KİRALIK 2+1 APART,14.000 TL,2+1,50,"Anadolu
Modern Evler Mah.","11 Aralık
2025"
Çünür'de iki okulun ortasında kiralık daire,23.000 TL,3+1,145,"Anadolu
Çünür Mh.","10 Aralık
2025"
KİRALIK 2+1 GENİŞ DAİRE //YENİ OTOGAR KARŞISI//7.KAT GÜNEY CEPHE,15.000 TL,2+1,65,"Anadolu
Çünür Mh.","10 Aralık
2025"
IYAŞA 2DK MESAFEDE KİRALIK 2+1 APART,14.000 TL,2+1,70,"Anadolu
Fatih Mah.","11 Aralık
2025"
201 CADDE KAHVE6 ÜSTÜ CADDE ÜZERİ 3+1 KİRALIK MANZARALI DAİRE !!,22.500 TL,3+1,140,"Anadolu
Fatih Mah.","10 Aralık
2025"
EŞYALI 100 M² 2+1 DAİRE OFİS İŞYERİ ÖZKANLAR KAVŞAĞINDA,25.000 TL,2+1,110,"Anadolu
Sanayi Mah.","10 Aralık
2025"
ÖZKANLAR KAVŞAĞINDA 1+1 KİRALIK APART,8.000 TL,1+1,45,"Kutlubey
Pirimehmet Mah.","11 Aralık
2025"
ISPARTA YAYLA MAHALLESİNDE 2+1 KİRALIK APART,10.500 TL,2+1,45,"Anadolu
Yedişehitler Mh.","10 Aralık
2025"
MEHMET TÖNGE MAHALLESİNDE 135M2 3+1 KİRALIK ŞIK DAİRE,25.000 TL,3+1,135,"Anadolu
Mehmet Tönge Mh.","10 Aralık
2025"
RAMADA OTEL YANI OTOBÜS DURAĞINA 2 DK 1+1 VE 2+1 KİRALIK APART,11.000 TL,2+1,45,"Anadolu
Bahçelievler Mh.","10 Aralık
2025"
ZAFER MAH. HERŞEY DAHİL 6000 TL 1+0 BAHÇE KATI APART,6.000 TL,Stüdyo (1+0),20,"Anadolu
Zafer Mah.","10 Aralık
2025"
DAVRAZ MAHALLESİ GÖZÜTOK OKULUNUN KARŞISI BAHÇE KATI 3+1 KİRALIK,18.000 TL,3+1,150,"Kepeci
Davraz Mah.","10 Aralık
2025"
İSUBU YÜRÜME MESAFESİ KİRALIK 1+1 APART,11.500 TL,1+1,45,"Kutlubey
Hızırbey Mh.","10 Aralık
2025"
İnovadan bahçe katı bakımlı kiralık daire,15.000 TL,3+1,130,"Kutlubey
Işıkkent Mh.","10 Aralık
2025"
FATIH MAH 2+1 GENİŞ EŞYALI DAİRE 3 ODALI HERŞEY DAHİL,21.000 TL,3+1,110,"Anadolu
Fatih Mah.","12 Aralık
2025"
!!MODERNEVLER MAH // KİRALIK 1+1 APART//YAKI­T+İNTERNET DAHİL !!,9.000 TL,1+1,38,"Anadolu
Modern Evler Mah.","13 Aralık
2025"
ZAFER MAHALLESİNDE 3+1 135M2 ZEMİN KAT KİRALIK SIFIR DAİRE,21.000 TL,3+1,135,"Anadolu
Zafer Mah.","10 Aralık
2025"
ISPARTA VATAN MAHALLESİ SİTE İÇERİSİNDE 3+1 KİRALIK DAİRE,20.500 TL,3+1,145,"Çelebiler
Vatan Mah.","10 Aralık
2025"
İSKENDER MAHLESİNDE 1+0 30M2 KİRALIK ŞIK FULL EŞYALI APART DAİRE,8.650 TL,Stüdyo (1+0),30,"Çelebiler
İskender Mh.","10 Aralık
2025"
ISPARTA GÜLEVLER MAHALLESİ CADDE ÜZERİNDE 3+1 KİRALIK DAİRE,13.000 TL,3+1,140,"Çelebiler
Gülevler Mh.","10 Aralık
2025"
VATAN MAHALLESİ 125 METREKARE 3+1 KİRALIK DAİRE,16.000 TL,3+1,135,"Çelebiler
Vatan Mah.","10 Aralık
2025"
Çarşı Merkezde herşey dahil 1+1 Apart,12.000 TL,1+1,40,"Çelebiler
Gazi Kemal Mah.","10 Aralık
2025"
Sav Yolu Kiralık Daire,20.000 TL,3+1,130,"Çelebiler
Vatan Mah.","10 Aralık
2025"
32 ARTIBİR EMLAK BARİDA OTEL CİVARI 3+1 BAKIMLI DAİRE,15.000 TL,3+1,145,"Anadolu
Modern Evler Mah.","11 Aralık
2025"
Güneş Gayrimenkul'den Adliye Çaprazı 1+1 Bahçe Kat,10.000 TL,1+1,40,"Anadolu
Modern Evler Mah.","10 Aralık
2025"
"ISPARTA MERKEZ KURTULUŞ MAH.(ÇAYBOYU)3+1,2. KAT ASANSÖR KİRALIK",29.000 TL,3+1,165,"Çelebiler
Kurtuluş Mh.","10 Aralık
2025"
FATİH MAHALLESİN DE KİRALIK 2+1 APART,10.000 TL,2+1,45,"Anadolu
Fatih Mah.","10 Aralık
2025"
Çünür'de Üniversite&Hastane Yanı Kiralık Geniş 1+1 Apart,11.000 TL,1+1,50,"Anadolu
Çünür Mh.","11 Aralık
2025"
MEYDAN AVM KARŞISI HERŞEY DAHİL KİRALIK 1+1 APART,11.000 TL,1+1,45,"Kutlubey
Pirimehmet Mah.","10 Aralık
2025"
SERMET MAHALLESİ LÜKS KİRALIK 3+1 ARAKAT DAİRE,25.000 TL,3+1,170,"Kepeci
Sermet Mah.","10 Aralık
2025"
ISPARTA MERKEZ KEPECİ MAHALLESİNDE KİRALIK APART,14.000 TL,2+0,48,Kepeci,"10 Aralık
2025"
MODERNEVLERDE ARAKAT APART,15.000 TL,2+1,75,"Anadolu
Modern Evler Mah.","10 Aralık
2025"
TENEKE BAKKAL ALTINDA MÜSTAKİL TADINDA KİRALIK 3+1 KİRALIK DAİRE,12.500 TL,3+1,130,"Çelebiler
Halife Sultan Mah.","10 Aralık
2025"
1+0 kiralık,6.000 TL,Stüdyo (1+0),30,"Anadolu
Yedişehitler Mh.","09 Aralık
2025"
ÇARŞI MERKEZİ 3+1 140 M2 KİRALIK DAİRE,18.500 TL,3+1,150,"Kutlubey
Pirimehmet Mah.","09 Aralık
2025"
MODERN EVLER MAHALLESİ KİRALIK 1+1 BAHÇE KATI,9.000 TL,1+1,45,"Anadolu
Modern Evler Mah.","11 Aralık
2025"
ŞEHİR HASTAHANESİ YAKINI HERŞEY DAHİL KİRALIK LÜKS 1+1 APART,15.000 TL,1+1,50,"Kepeci
İstiklal Mh.","11 Aralık
2025"
1+1 eşyalı iyaşparka 500mt,11.500 TL,1+1,70,"Anadolu
Fatih Mah.","09 Aralık
2025"
SAHİBİNDEN ANADOLU MAH. EŞYALI 2+0 GENİŞ TEMİZ DAİRE,9.750 TL,2+0,65,Anadolu,"09 Aralık
2025"
Sahibinden Daire,17.000 TL,3+1,135,"Kepeci
Davraz Mah.","09 Aralık
2025"
Ultra Lüx SAHİBİNDEN,28.000 TL,4+1,190,"Anadolu
Fatih Mah.","09 Aralık
2025"
Davrazda Aquapark yanı kiralık daire,21.000 TL,3+1,145,"Kepeci
Davraz Mah.","09 Aralık
2025"
Özkanlarda Çarşıya Yürüme Mesafesinde Kiralık Apart..,16.250 TL,2+0,55,"Kutlubey
Pirimehmet Mah.","10 Aralık
2025"
KALE'DEN KİRALIK 2+1 ARA KAT APART,9.998 TL,2+1,50,"Anadolu
Fatih Mah.","10 Aralık
2025"
AYAZMANA CADDESİ ÜZERİ SİTE İÇİ 3+1 KİRALIK GENİŞ DAİRE,21.000 TL,3+1,145,"Çelebiler
Halife Sultan Mah.","09 Aralık
2025"
MODERNEVLER MAH KİRALIK APART 1+1,9.000 TL,1+1,46,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
SAHİBİNDEN 2+0 EŞYALI HERŞEY DAHİL 55 M2 APART,14.000 TL,2+0,60,"Anadolu
Fatih Mah.","09 Aralık
2025"
Sağlık parkı karşısı kiralık 2+1,10.000 TL,2+1,40,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
32/ARTIBİR EMLAK'TAN ÇÜNÜR'DE BALKONLU 1+0 APART,8.000 TL,Stüdyo (1+0),49,"Anadolu
Çünür Mh.","12 Aralık
2025"
Adliye Yakını Gelişen Bölgede Kiralık 3+1 Daire,20.000 TL,3+1,150,"Anadolu
Fatih Mah.","09 Aralık
2025"
HALK EĞİTİM KARŞISI KONUT VE OFİS İÇİN UYGUN 4+1 170 M²,23.000 TL,4+1,170,Kutlubey,"09 Aralık
2025"
"AYRI MUTFAKLI, GENİŞ SALONLU ANA YOL YANI KİRALIK 2+1 DAİRE",10.000 TL,2+1,120,"Kozluçay
Dere Mah.","09 Aralık
2025"
ISPARTA APART MÜKEMMEL KONUMDA BARIDA ARKASINDA,13.000 TL,1+1,45,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
ISPARTA 3+1 EŞYALI DAİRE 135m2,21.000 TL,3+1,150,"Kutlubey
Bağlar Mh.","09 Aralık
2025"
KİRALIK EŞYALI DAİRE,18.000 TL,3+1,130,"Çelebiler
İskender Mh.","09 Aralık
2025"
ANADOLU MAH KİRALIK 1+0 MUTFAK AYRI EŞYALI APART,8.000 TL,Stüdyo (1+0),20,Anadolu,"09 Aralık
2025"
ZİHNİ BEY GAYRİMENKUL'DEN ÇARŞI MERKEZİNDE GENİŞ OFİS DAİREMİZ,24.000 TL,3+1,145,"Kepeci
İstiklal Mh.","09 Aralık
2025"
ZİHNİ BEY GAYRİMENKUL 'DEN LÜKS 1+0 STÜDYO DAİRE,8.500 TL,Stüdyo (1+0),40,"Anadolu
Modern Evler Mah.","09 Aralık
2025"
PALERMO CAFE ÜSTÜ KİRALIK 1+0 BAHÇE KAT APART 7.500₺,7.500 TL,Stüdyo (1+0),35,"Anadolu
Fatih Mah.","12 Aralık
2025"
FATİHTR KİRALIK LÜKS STÜDYO DAİRE,10.500 TL,Stüdyo (1+0),40,"Anadolu
Fatih Mah.","10 Aralık
2025"
"Sahibinden 3+1 tadilatlı Daire. Demir köprü, hisar mah",20.000 TL,3+1,125,"Çelebiler
Hisar Mah.","09 Aralık
2025"
32 BY BAKKAL YANI ARA KAT BALKONLU 1+0 HERŞEY DAHİL KİRALK 7.500,7.500 TL,Stüdyo (1+0),35,"Anadolu
Fatih Mah.","12 Aralık
2025"
SÖYLEYİCİLER AZURE SİTESİ'NDE KİRALIK SIFIR 3+1 DAİRE,23.500 TL,3+1,140,"Anadolu
Muzaffer Türkeş Mh.","09 Aralık
2025"
sıfır apart bulaşık makinalı,16.000 TL,1+1,45,"Anadolu
Çünür Mh.","11 Aralık
2025"
PARLAİS EMLAKTAN FATİHTE 1+1 ARA KAT BALKONLU APART DAİRE,12.000 TL,1+1,50,"Anadolu
Fatih Mah.","09 Aralık
2025"
MERKEZDE RAMADA OTEL ARKASI APART DAİRE,7.500 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
İyaş üstü geniş 1+0 apart,9.000 TL,Stüdyo (1+0),40,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
